"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 12:27:07 GST 2023","Tue Apr 18 12:27:12 GST 2023","4941","","verify by filling the form with valid and invalid cases","","","","verify by passing valid details using css selector",""
"failed","Tue Apr 18 12:28:06 GST 2023","Tue Apr 18 12:28:15 GST 2023","8501","","verify by validating the products using aliases and invoke","","","","verify by adding prices of each individual products",""
"passed","Tue Apr 18 12:28:24 GST 2023","Tue Apr 18 12:28:25 GST 2023","480","","example to-do app","","","","can add new todo items",""
"broken","Tue Apr 18 12:28:32 GST 2023","Tue Apr 18 12:28:33 GST 2023","882","","verify by filling the form with valid and invalid cases","","","","verify by passing valid details using css selector by driving data through fixture",""
"passed","Tue Apr 18 12:27:16 GST 2023","Tue Apr 18 12:27:18 GST 2023","1516","","verify by filling the form with valid and invalid cases","","","","verify by passing blank first name and last name",""
"passed","Tue Apr 18 12:28:25 GST 2023","Tue Apr 18 12:28:26 GST 2023","368","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Tue Apr 18 12:28:23 GST 2023","Tue Apr 18 12:28:24 GST 2023","1412","","example to-do app","","","","displays two todo items by default",""
"passed","Tue Apr 18 12:28:25 GST 2023","Tue Apr 18 12:28:25 GST 2023","272","","example to-do app","","","","can check off an item as completed",""
"passed","Tue Apr 18 12:27:55 GST 2023","Tue Apr 18 12:27:58 GST 2023","3295","","verify by adding a specific vegetable to the cart and place the order","","","","Add the vegetable to the cart and place order",""
"passed","Tue Apr 18 12:28:26 GST 2023","Tue Apr 18 12:28:26 GST 2023","385","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Tue Apr 18 12:27:14 GST 2023","Tue Apr 18 12:27:16 GST 2023","1799","","verify by filling the form with valid and invalid cases","","","","verify by passing blank last name",""
"passed","Tue Apr 18 12:27:26 GST 2023","Tue Apr 18 12:27:33 GST 2023","7007","","verify by validating all the basic validations","","","","verify details",""
"passed","Tue Apr 18 12:27:12 GST 2023","Tue Apr 18 12:27:14 GST 2023","2695","","verify by filling the form with valid and invalid cases","","","","verify by passing valid details using xpath selector",""
"passed","Tue Apr 18 12:28:26 GST 2023","Tue Apr 18 12:28:26 GST 2023","364","example to-do app","with a checked task","","","","can delete all completed tasks",""
